mode,shift,level,abs_deltaV_minus_base_mm3_mean,abs_deltaV_minus_base_mm3_std,dice_sym_minus_base_mean,dice_sym_minus_base_std,dice_new_minus_base_mean,dice_new_minus_base_std,n
t1_only,gamma,0,0.0,0.0,0.0,0.0,0.0,0.0,8
t1_only,gamma,1,4493.2577415197375,6973.373804841904,-0.03419198101026574,0.10686101985778755,-0.09227877931205546,0.14149762471380722,8
t1_only,gamma,2,1144.726357845178,2197.165739946792,-0.005234332604690525,0.020640816305206526,-0.008638494454835024,0.02475677362417238,8
t1_only,noise,0,0.0,0.0,0.0,0.0,0.0,0.0,8
t1_only,noise,1,2833.38292883902,5116.348286351683,-0.023562263798438926,0.05903740066675715,-0.03586407685057754,0.07354372170290947,8
t1_only,noise,2,2984.4732895863212,5093.734394744196,-0.0261095035854302,0.06263060515078135,-0.044725465521516274,0.07707942481947012,8
t1_only,resolution,0,0.0,0.0,0.0,0.0,0.0,0.0,8
t1_only,resolution,1,2756.2171485902827,3982.3787980305456,-0.015372903446151338,0.0510003065132953,-0.03333002999644048,0.057005361383960645,8
t1_only,resolution,2,3073.172289325775,4347.69440979533,-0.012347699994087627,0.05204600038521084,-0.030650557075394796,0.05476813559080546,8
